Linux 4.15.0-74-generic (server_ubuntu18.04) 	01/18/2020 	_x86_64_	(2 CPU)

17:34:39     LINUX RESTART	(2 CPU)

05:35:01 PM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
11:05:01 PM     all      0.54      0.00      0.40      0.09      0.03      0.00      0.02      0.00      0.00     98.92
11:05:01 PM       0      0.57      0.00      0.40      0.02      0.03      0.00      0.03      0.00      0.00     98.95
11:05:01 PM       1      0.51      0.00      0.39      0.16      0.03      0.00      0.01      0.00      0.00     98.90

11:05:01 PM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
11:15:01 PM     all      0.73      0.00      0.49      0.41      0.03      0.00      0.03      0.00      0.00     98.31
11:15:01 PM       0      0.67      0.00      0.51      0.25      0.03      0.00      0.04      0.00      0.00     98.50
11:15:01 PM       1      0.79      0.00      0.47      0.56      0.03      0.00      0.02      0.00      0.00     98.13
11:25:01 PM     all      0.58      0.00      0.38      0.16      0.03      0.00      0.02      0.00      0.00     98.83
11:25:01 PM       0      0.55      0.00      0.37      0.07      0.03      0.00      0.02      0.00      0.00     98.96
11:25:01 PM       1      0.61      0.00      0.39      0.26      0.02      0.00      0.02      0.00      0.00     98.69
11:35:01 PM     all      0.64      0.00      0.38      0.12      0.03      0.00      0.02      0.00      0.00     98.81
11:35:01 PM       0      0.71      0.00      0.41      0.14      0.03      0.00      0.03      0.00      0.00     98.69
11:35:01 PM       1      0.58      0.00      0.36      0.10      0.03      0.00      0.01      0.00      0.00     98.93
11:45:01 PM     all      0.81      0.00      0.52      0.14      0.03      0.00      0.05      0.00      0.00     98.45
11:45:01 PM       0      0.87      0.00      0.57      0.26      0.03      0.00      0.07      0.00      0.00     98.19
11:45:01 PM       1      0.74      0.00      0.47      0.03      0.03      0.00      0.02      0.00      0.00     98.71
11:55:01 PM     all      1.74      0.00      0.51      0.17      0.03      0.00      0.02      0.00      0.00     97.54
11:55:01 PM       0      0.73      0.00      0.42      0.30      0.03      0.00      0.02      0.00      0.00     98.50
11:55:01 PM       1      2.74      0.00      0.61      0.04      0.03      0.00      0.02      0.00      0.00     96.58
11:59:01 PM     all      0.68      0.00      0.44      0.13      0.03      0.00      0.02      0.00      0.00     98.71
11:59:01 PM       0      0.61      0.00      0.42      0.18      0.03      0.00      0.03      0.00      0.00     98.74
11:59:01 PM       1      0.74      0.00      0.45      0.09      0.03      0.00      0.01      0.00      0.00     98.68
12:00:01 AM     all      0.82      0.00      0.53      0.06      0.03      0.00      0.02      0.00      0.00     98.55
12:00:01 AM       0      0.97      0.00      0.55      0.02      0.03      0.00      0.02      0.00      0.00     98.41
12:00:01 AM       1      0.67      0.00      0.50      0.08      0.03      0.00      0.00      0.00      0.00     98.71
Average:        all      0.77      0.00      0.47      0.19      0.03      0.00      0.03      0.00      0.00     98.51
Average:          0      0.76      0.00      0.48      0.17      0.03      0.00      0.03      0.00      0.00     98.52
Average:          1      0.78      0.00      0.47      0.20      0.03      0.00      0.02      0.00      0.00     98.51

05:35:01 PM    proc/s   cswch/s
05:45:01 PM      1.62   1690.86
05:55:01 PM      1.35    370.04
06:05:01 PM      1.41    380.47
06:15:01 PM      1.36    373.28
06:25:01 PM      1.25    395.65
06:35:01 PM      1.47    548.62
06:45:01 PM      1.62    422.88
06:55:01 PM      1.45    364.01
07:05:01 PM      1.41    376.99
07:15:01 PM      1.73    416.56
07:25:01 PM      1.69    384.25
07:35:01 PM      1.69    487.24
07:45:01 PM      1.62    370.15
07:55:01 PM      1.62    381.59
08:05:01 PM      1.57    430.35
08:15:01 PM      2.07    391.99
08:25:02 PM      1.79    427.07
08:35:01 PM      1.76    518.81
08:45:01 PM      1.98    419.63
08:55:01 PM      2.08    391.77
09:05:01 PM      1.72    414.32
09:15:01 PM      1.64    404.16
09:25:01 PM      1.47    368.09
09:35:01 PM      1.48    368.91
09:45:01 PM      1.60    481.50
09:55:01 PM      1.61    373.13
10:05:01 PM      1.43    372.88
10:15:01 PM      1.43    361.79
10:25:01 PM      1.43    361.29
10:35:01 PM      1.37    442.06
10:45:01 PM      1.41    478.82
10:55:01 PM      1.37    361.91
11:05:01 PM      1.32    376.66
11:15:01 PM      1.57    397.08
11:25:01 PM      1.39    366.91
11:35:01 PM      1.22    368.25
11:45:01 PM      1.17    502.07
11:55:01 PM      1.52    370.73
11:59:01 PM      1.29    385.08
12:00:01 AM      1.55    388.75
Average:         1.54    439.11

05:35:01 PM  pswpin/s pswpout/s
05:45:01 PM      0.00      0.00
05:55:01 PM      0.00      0.00
06:05:01 PM      0.00      0.00
06:15:01 PM      0.00      0.00
06:25:01 PM      0.00      0.00
06:35:01 PM      0.00      0.00
06:45:01 PM      0.00      0.00
06:55:01 PM      0.00      0.00
07:05:01 PM      0.00      0.00
07:15:01 PM      0.00      0.00
07:25:01 PM      0.00      0.00
07:35:01 PM      0.00      0.00
07:45:01 PM      0.00      0.00
07:55:01 PM      0.00      0.00
08:05:01 PM      0.00      0.00
08:15:01 PM      0.00      0.00
08:25:02 PM      0.00      0.00
08:35:01 PM      0.00      0.00
08:45:01 PM      0.00      0.00
