Linux 3.10.0-1062.7.1.el7.x86_64 (server_rhel7.6) 	12/31/2019 	_x86_64_	(1 CPU)

12:00:01 AM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
06:40:01 AM     all      1.14      0.00      1.09      0.03      0.00      0.00      0.01      0.00      0.00     97.74
06:40:01 AM       0      1.14      0.00      1.09      0.03      0.00      0.00      0.01      0.00      0.00     97.74
06:50:01 AM     all      1.33      0.00      1.42      0.05      0.00      0.00      0.01      0.00      0.00     97.19
06:50:01 AM       0      1.33      0.00      1.42      0.05      0.00      0.00      0.01      0.00      0.00     97.19
07:00:01 AM     all      1.15      0.00      1.09      0.02      0.00      0.00      0.00      0.00      0.00     97.73
07:00:01 AM       0      1.15      0.00      1.09      0.02      0.00      0.00      0.00      0.00      0.00     97.73
07:10:01 AM     all      1.55      0.00      1.37      0.03      0.00      0.00      0.00      0.00      0.00     97.05
07:10:01 AM       0      1.55      0.00      1.37      0.03      0.00      0.00      0.00      0.00      0.00     97.05
07:20:01 AM     all      1.38      0.00      1.44      0.08      0.00      0.00      0.01      0.00      0.00     97.09
07:20:01 AM       0      1.38      0.00      1.44      0.08      0.00      0.00      0.01      0.00      0.00     97.09

07:20:01 AM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
07:30:01 AM     all      3.26      0.00      3.09      0.03      0.00      0.00      0.02      0.00      0.00     93.61
07:30:01 AM       0      3.26      0.00      3.09      0.03      0.00      0.00      0.02      0.00      0.00     93.61
07:40:01 AM     all      1.12      0.00      1.11      0.03      0.00      0.00      0.00      0.00      0.00     97.73
07:40:01 AM       0      1.12      0.00      1.11      0.03      0.00      0.00      0.00      0.00      0.00     97.73
07:50:01 AM     all      1.35      0.00      1.40      0.05      0.00      0.00      0.01      0.00      0.00     97.20
07:50:01 AM       0      1.35      0.00      1.40      0.05      0.00      0.00      0.01      0.00      0.00     97.20
08:00:01 AM     all      1.10      0.00      1.13      0.02      0.00      0.00      0.00      0.00      0.00     97.75
08:00:01 AM       0      1.10      0.00      1.13      0.02      0.00      0.00      0.00      0.00      0.00     97.75
08:10:01 AM     all      1.23      0.00      1.12      0.04      0.00      0.00      0.00      0.00      0.00     97.61
08:10:01 AM       0      1.23      0.00      1.12      0.04      0.00      0.00      0.00      0.00      0.00     97.61
08:20:01 AM     all      1.33      0.00      1.43      0.05      0.00      0.00      0.00      0.00      0.00     97.18
08:20:01 AM       0      1.33      0.00      1.43      0.05      0.00      0.00      0.00      0.00      0.00     97.18
08:30:01 AM     all      1.14      0.00      1.09      0.03      0.00      0.00      0.00      0.00      0.00     97.75
08:30:01 AM       0      1.14      0.00      1.09      0.03      0.00      0.00      0.00      0.00      0.00     97.75
08:40:01 AM     all      1.14      0.00      1.09      0.03      0.00      0.00      0.00      0.00      0.00     97.73
08:40:01 AM       0      1.14      0.00      1.09      0.03      0.00      0.00      0.00      0.00      0.00     97.73
08:50:01 AM     all      1.35      0.00      1.42      0.06      0.00      0.00      0.00      0.00      0.00     97.17
08:50:01 AM       0      1.35      0.00      1.42      0.06      0.00      0.00      0.00      0.00      0.00     97.17
09:00:01 AM     all      1.14      0.00      1.10      0.02      0.00      0.00      0.00      0.00      0.00     97.74
09:00:01 AM       0      1.14      0.00      1.10      0.02      0.00      0.00      0.00      0.00      0.00     97.74
09:10:01 AM     all      1.15      0.00      1.12      0.03      0.00      0.00      0.01      0.00      0.00     97.69
09:10:01 AM       0      1.15      0.00      1.12      0.03      0.00      0.00      0.01      0.00      0.00     97.69

09:10:01 AM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
09:20:01 AM     all      1.37      0.00      1.42      0.04      0.00      0.00      0.01      0.00      0.00     97.17
09:20:01 AM       0      1.37      0.00      1.42      0.04      0.00      0.00      0.01      0.00      0.00     97.17
09:30:02 AM     all      1.13      0.00      1.11      0.03      0.00      0.00      0.00      0.00      0.00     97.72
09:30:02 AM       0      1.13      0.00      1.11      0.03      0.00      0.00      0.00      0.00      0.00     97.72
09:40:01 AM     all      1.13      0.00      1.09      0.04      0.00      0.00      0.00      0.00      0.00     97.74
09:40:01 AM       0      1.13      0.00      1.09      0.04      0.00      0.00      0.00      0.00      0.00     97.74
09:50:01 AM     all      1.33      0.00      1.41      0.05      0.00      0.00      0.00      0.00      0.00     97.20
09:50:01 AM       0      1.33      0.00      1.41      0.05      0.00      0.00      0.00      0.00      0.00     97.20
10:00:01 AM     all      1.13      0.00      1.10      0.02      0.00      0.00      0.01      0.00      0.00     97.74
10:00:01 AM       0      1.13      0.00      1.10      0.02      0.00      0.00      0.01      0.00      0.00     97.74
10:10:01 AM     all      1.15      0.00      1.14      0.03      0.00      0.00      0.00      0.00      0.00     97.68
10:10:01 AM       0      1.15      0.00      1.14      0.03      0.00      0.00      0.00      0.00      0.00     97.68
10:20:01 AM     all      1.34      0.00      1.44      0.04      0.00      0.00      0.00      0.00      0.00     97.17
10:20:01 AM       0      1.34      0.00      1.44      0.04      0.00      0.00      0.00      0.00      0.00     97.17
10:30:01 AM     all      1.13      0.00      1.12      0.02      0.00      0.00      0.00      0.00      0.00     97.72
10:30:01 AM       0      1.13      0.00      1.12      0.02      0.00      0.00      0.00      0.00      0.00     97.72
10:40:01 AM     all      5.72      0.00      1.89      0.18      0.00      0.00      0.01      0.00      0.00     92.20
10:40:01 AM       0      5.72      0.00      1.89      0.18      0.00      0.00      0.01      0.00      0.00     92.20
10:50:01 AM     all      1.34      0.00      1.37      0.04      0.00      0.00      0.01      0.00      0.00     97.24
10:50:01 AM       0      1.34      0.00      1.37      0.04      0.00      0.00      0.01      0.00      0.00     97.24
11:00:01 AM     all      1.12      0.00      1.12      0.04      0.00      0.00      0.00      0.00      0.00     97.72
11:00:01 AM       0      1.12      0.00      1.12      0.04      0.00      0.00      0.00      0.00      0.00     97.72

11:00:01 AM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
11:10:01 AM     all      1.15      0.00      1.15      0.03      0.00      0.00      0.00      0.00      0.00     97.67
11:10:01 AM       0      1.15      0.00      1.15      0.03      0.00      0.00      0.00      0.00      0.00     97.67
11:20:01 AM     all      1.39      0.00      1.44      0.05      0.00      0.00      0.00      0.00      0.00     97.11
11:20:01 AM       0      1.39      0.00      1.44      0.05      0.00      0.00      0.00      0.00      0.00     97.11
11:30:01 AM     all      1.14      0.00      1.09      0.03      0.00      0.00      0.00      0.00      0.00     97.74
11:30:01 AM       0      1.14      0.00      1.09      0.03      0.00      0.00      0.00      0.00      0.00     97.74
11:40:01 AM     all      1.12      0.00      1.10      0.03      0.00      0.00      0.00      0.00      0.00     97.75
11:40:01 AM       0      1.12      0.00      1.10      0.03      0.00      0.00      0.00      0.00      0.00     97.75
11:50:01 AM     all      1.35      0.00      1.46      0.05      0.00      0.00      0.00      0.00      0.00     97.14
11:50:01 AM       0      1.35      0.00      1.46      0.05      0.00      0.00      0.00      0.00      0.00     97.14
12:00:01 PM     all      1.11      0.00      1.12      0.06      0.00      0.00      0.00      0.00      0.00     97.70
12:00:01 PM       0      1.11      0.00      1.12      0.06      0.00      0.00      0.00      0.00      0.00     97.70
12:10:01 PM     all      1.15      0.00      1.13      0.03      0.00      0.00      0.00      0.00      0.00     97.69
12:10:01 PM       0      1.15      0.00      1.13      0.03      0.00      0.00      0.00      0.00      0.00     97.69
12:20:02 PM     all      1.40      0.00      1.41      0.04      0.00      0.00      0.00      0.00      0.00     97.14
12:20:02 PM       0      1.40      0.00      1.41      0.04      0.00      0.00      0.00      0.00      0.00     97.14
12:30:01 PM     all      1.13      0.00      1.09      0.03      0.00      0.00      0.00      0.00      0.00     97.75
12:30:01 PM       0      1.13      0.00      1.09      0.03      0.00      0.00      0.00      0.00      0.00     97.75
12:40:01 PM     all      1.11      0.00      1.12      0.03      0.00      0.00      0.00      0.00      0.00     97.74
12:40:01 PM       0      1.11      0.00      1.12      0.03      0.00      0.00      0.00      0.00      0.00     97.74
12:50:01 PM     all      1.13      0.00      1.09      0.03      0.00      0.00      0.00      0.00      0.00     97.74
12:50:01 PM       0      1.13      0.00      1.09      0.03      0.00      0.00      0.00      0.00      0.00     97.74

12:50:01 PM     CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
01:00:01 PM     all      1.35      0.00      1.38      0.04      0.00      0.00      0.01      0.00      0.00     97.22
01:00:01 PM       0      1.35      0.00      1.38      0.04      0.00      0.00      0.01      0.00      0.00     97.22
01:10:01 PM     all      1.17      0.00      1.12      0.03      0.00      0.00      0.01      0.00      0.00     97.67
