Linux 2.6.18-398.el5 (server_rhel5) 	01/05/2020

12:00:01 AM    proc/s
12:10:01 AM     76.83
12:20:01 AM    107.17
12:30:01 AM    105.19
12:40:01 AM    110.02
12:50:01 AM     15.20
01:00:01 AM     89.41
01:10:01 AM     65.69
01:20:01 AM     41.29
01:30:01 AM     22.27
01:40:01 AM     20.21
01:50:01 AM     75.95
02:00:01 AM    175.05
Average:        75.36

12:00:01 AM   cswch/s
12:10:01 AM   5551.93
12:20:01 AM   5974.30
12:30:01 AM   6288.31
12:40:01 AM   5940.90
12:50:01 AM   4240.95
01:00:01 AM   4651.12
01:10:01 AM   5831.87
01:20:01 AM   6065.06
01:30:01 AM   4515.08
01:40:01 AM   4092.01
01:50:01 AM   8262.38
02:00:01 AM   9662.14
Average:      5922.82

12:00:01 AM       CPU     %user     %nice   %system   %iowait    %steal     %idle
12:20:01 AM    6    0.00    0.00    0.00    0.00    0.00    0.00 1755.15    0.00    0.00    0.00
12:20:01 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00 1827.95    0.00    0.00
12:30:01 AM    0  997.84    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:30:01 AM    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:30:01 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:30:01 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:30:01 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:30:01 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   10.04
12:30:01 AM    6    0.00    0.00    0.00    0.00    0.00    0.00 1745.03    0.00    0.00    0.00
12:30:01 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00 1823.80    0.00    0.00
12:40:01 AM    0  997.94    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:40:01 AM    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:40:01 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:40:01 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:40:01 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:40:01 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   10.00
12:40:01 AM    6    0.00    0.00    0.00    0.00    0.00    0.00 1731.90    0.00    0.00    0.00
12:40:01 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00 1762.24    0.00    0.00
12:50:01 AM    0  997.81    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:50:01 AM    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:50:01 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:50:01 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:50:01 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
12:50:01 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    9.98
12:50:01 AM    6    0.00    0.00    0.00    0.00    0.00    0.00 1469.27    0.00    0.00    0.00
12:50:01 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00 1921.63    0.00    0.00
01:00:01 AM    0  997.47    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:00:01 AM    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:00:01 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:00:01 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:00:01 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:00:01 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   10.04
01:00:01 AM    6    0.00    0.00    0.00    0.00    0.00    0.00 1456.05    0.00    0.00    0.00
01:00:01 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00 1918.06    0.00    0.00
01:10:01 AM    0  997.85    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:10:01 AM    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:10:01 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:10:01 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:10:01 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:10:01 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    9.97
01:10:01 AM    6    0.00    0.00    0.00    0.00    0.00    0.00 1473.80    0.00    0.00    0.00
01:10:01 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00 2477.07    0.00    0.00
01:20:01 AM    0  996.12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:20:01 AM    1    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:20:01 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
