Linux 6.8.0-106-generic (server_ubuntu24.04) 	03/27/26 	_x86_64_	(4 CPU)

00:00:01        CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
03:10:01          3      1.94      0.00      0.40      0.02      0.01      0.00      0.00      0.00      0.00     97.62
03:20:01        all      1.53      0.00      0.42      0.01      0.01      0.00      0.02      0.00      0.00     98.01
03:20:01          0      0.90      0.00      0.31      0.01      0.01      0.00      0.05      0.00      0.00     98.73
03:20:01          1      2.08      0.00      0.54      0.01      0.01      0.00      0.01      0.00      0.00     97.34
03:20:01          2      1.69      0.00      0.43      0.02      0.01      0.00      0.01      0.00      0.00     97.85
03:20:01          3      1.44      0.00      0.40      0.01      0.01      0.00      0.00      0.00      0.00     98.14
03:30:00        all      1.41      0.00      0.38      0.01      0.01      0.00      0.02      0.00      0.00     98.17
03:30:00          0      0.94      0.00      0.30      0.01      0.01      0.00      0.04      0.00      0.00     98.70
03:30:00          1      2.09      0.00      0.48      0.02      0.01      0.00      0.01      0.00      0.00     97.38
03:30:00          2      1.40      0.00      0.36      0.01      0.01      0.00      0.01      0.00      0.00     98.22
03:30:00          3      1.23      0.00      0.38      0.01      0.01      0.00      0.01      0.00      0.00     98.38
03:40:01        all      1.59      0.00      0.46      0.01      0.01      0.00      0.02      0.00      0.00     97.90
03:40:01          0      1.05      0.00      0.41      0.01      0.01      0.00      0.06      0.00      0.00     98.46
03:40:01          1      1.76      0.00      0.48      0.01      0.01      0.00      0.02      0.00      0.00     97.73
03:40:01          2      2.05      0.00      0.54      0.01      0.01      0.00      0.01      0.00      0.00     97.37
03:40:01          3      1.51      0.00      0.42      0.02      0.01      0.00      0.00      0.00      0.00     98.04

03:40:01        CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
03:50:01        all      1.51      0.00      0.40      0.01      0.01      0.00      0.02      0.00      0.00     98.06
03:50:01          0      1.06      0.00      0.34      0.02      0.01      0.00      0.05      0.00      0.00     98.52
03:50:01          1      1.37      0.00      0.37      0.01      0.01      0.00      0.02      0.00      0.00     98.23
03:50:01          2      2.11      0.00      0.47      0.01      0.01      0.00      0.01      0.00      0.00     97.40
03:50:01          3      1.50      0.00      0.40      0.01      0.01      0.00      0.00      0.00      0.00     98.08
04:00:01        all      1.43      0.00      0.40      0.01      0.01      0.00      0.02      0.00      0.00     98.13
04:00:01          0      1.32      0.00      0.39      0.01      0.01      0.00      0.05      0.00      0.00     98.22
04:00:01          1      1.29      0.00      0.39      0.02      0.01      0.00      0.02      0.00      0.00     98.28
04:00:01          2      1.58      0.00      0.42      0.01      0.01      0.00      0.01      0.00      0.00     97.97
04:00:01          3      1.54      0.00      0.41      0.01      0.01      0.00      0.00      0.00      0.00     98.04
04:10:00        all      1.93      0.00      0.48      0.01      0.01      0.00      0.02      0.00      0.00     97.55
04:10:00          0      1.63      0.00      0.52      0.02      0.01      0.00      0.04      0.00      0.00     97.79
04:10:00          1      2.49      0.00      0.47      0.01      0.01      0.00      0.02      0.00      0.00     97.00
04:10:00          2      2.00      0.00      0.49      0.01      0.01      0.00      0.01      0.00      0.00     97.49
04:10:00          3      1.59      0.00      0.44      0.01      0.01      0.00      0.00      0.00      0.00     97.95
04:20:01        all      1.52      0.00      0.40      0.01      0.01      0.00      0.02      0.00      0.00     98.04
04:20:01          0      1.51      0.00      0.40      0.01      0.01      0.00      0.05      0.00      0.00     98.03
04:20:01          1      1.58      0.00      0.41      0.01      0.01      0.00      0.02      0.00      0.00     97.98
04:20:01          2      1.79      0.00      0.43      0.02      0.01      0.00      0.01      0.00      0.00     97.75
04:20:01          3      1.21      0.00      0.37      0.01      0.01      0.00      0.00      0.00      0.00     98.40
04:30:01        all      1.49      0.00      0.43      0.01      0.01      0.00      0.02      0.00      0.00     98.04
04:30:01          0      0.97      0.00      0.39      0.01      0.01      0.00      0.05      0.00      0.00     98.57
04:30:01          1      1.45      0.00      0.40      0.01      0.01      0.00      0.01      0.00      0.00     98.12
04:30:01          2      2.13      0.00      0.49      0.01      0.01      0.00      0.01      0.00      0.00     97.36
04:30:01          3      1.42      0.00      0.43      0.02      0.01      0.00      0.00      0.00      0.00     98.12
04:40:01        all      1.58      0.00      0.45      0.01      0.01      0.00      0.02      0.00      0.00     97.93
04:40:01          0      1.32      0.00      0.40      0.01      0.01      0.00      0.06      0.00      0.00     98.21
04:40:01          1      1.49      0.00      0.46      0.01      0.01      0.00      0.02      0.00      0.00     98.01
04:40:01          2      1.83      0.00      0.49      0.02      0.01      0.00      0.01      0.00      0.00     97.64
04:40:01          3      1.67      0.00      0.46      0.02      0.01      0.00      0.00      0.00      0.00     97.84
04:50:01        all      1.68      0.00      0.47      0.01      0.01      0.00      0.02      0.00      0.00     97.80
04:50:01          0      1.66      0.00      0.48      0.02      0.01      0.00      0.06      0.00      0.00     97.77
04:50:01          1      1.63      0.00      0.43      0.01      0.01      0.00      0.02      0.00      0.00     97.90
04:50:01          2      1.79      0.00      0.46      0.01      0.01      0.00      0.01      0.00      0.00     97.72
04:50:01          3      1.65      0.00      0.51      0.01      0.01      0.00      0.01      0.00      0.00     97.83
05:00:01        all      1.60      0.00      0.44      0.01      0.01      0.00      0.02      0.00      0.00     97.92
05:00:01          0      1.29      0.00      0.42      0.02      0.01      0.00      0.05      0.00      0.00     98.20
05:00:01          1      1.86      0.00      0.46      0.01      0.01      0.00      0.02      0.00      0.00     97.65
05:00:01          2      2.20      0.00      0.53      0.01      0.01      0.00      0.02      0.00      0.00     97.23
05:00:01          3      1.03      0.00      0.36      0.01      0.01      0.00      0.00      0.00      0.00     98.58
05:10:01        all      1.89      0.00      0.49      0.01      0.01      0.00      0.02      0.00      0.00     97.58
05:10:01          0      1.42      0.00      0.47      0.02      0.01      0.00      0.05      0.00      0.00     98.03
05:10:01          1      2.12      0.00      0.53      0.01      0.01      0.00      0.02      0.00      0.00     97.32
05:10:01          2      1.66      0.00      0.49      0.01      0.01      0.00      0.01      0.00      0.00     97.82
05:10:01          3      2.36      0.00      0.47      0.01      0.01      0.00      0.00      0.00      0.00     97.15
05:20:01        all      1.58      0.00      0.47      0.01      0.01      0.00      0.02      0.00      0.00     97.92
05:20:01          0      1.12      0.00      0.39      0.01      0.01      0.00      0.05      0.00      0.00     98.42
05:20:01          1      2.39      0.00      0.59      0.01      0.01      0.00      0.02      0.00      0.00     96.99
05:20:01          2      1.67      0.00      0.50      0.02      0.01      0.00      0.01      0.00      0.00     97.79
05:20:01          3      1.12      0.00      0.39      0.01      0.01      0.00      0.00      0.00      0.00     98.48
05:30:01        all      1.55      0.00      0.44      0.01      0.01      0.00      0.02      0.00      0.00     97.97
05:30:01          0      1.52      0.00      0.43      0.01      0.01      0.00      0.04      0.00      0.00     98.00
05:30:01          1      1.71      0.00      0.47      0.01      0.01      0.00      0.02      0.00      0.00     97.78
05:30:01          2      1.52      0.00      0.43      0.01      0.01      0.00      0.01      0.00      0.00     98.03
05:30:01          3      1.45      0.00      0.44      0.02      0.01      0.00      0.00      0.00      0.00     98.08

05:30:01        CPU      %usr     %nice      %sys   %iowait    %steal      %irq     %soft    %guest    %gnice     %idle
05:40:00        all      1.69      0.00      0.53      0.01      0.01      0.00      0.02      0.00      0.00     97.74
05:40:00          0      1.38      0.00      0.50      0.02      0.01      0.00      0.04      0.00      0.00     98.05
05:40:00          1      2.01      0.00      0.57      0.02      0.01      0.00      0.02      0.00      0.00     97.37
05:40:00          2      1.78      0.00      0.56      0.01      0.01      0.00      0.01      0.00      0.00     97.62
05:40:00          3      1.57      0.00      0.50      0.02      0.01      0.00      0.01      0.00      0.00     97.90
05:50:01        all      1.59      0.00      0.46      0.01      0.01      0.00      0.02      0.00      0.00     97.91
05:50:01          0      1.79      0.00      0.51      0.00      0.01      0.00      0.04      0.00      0.00     97.65
05:50:01          1      1.57      0.00      0.46      0.02      0.01      0.00      0.02      0.00      0.00     97.92
05:50:01          2      1.79      0.00      0.48      0.01      0.01      0.00      0.01      0.00      0.00     97.70
05:50:01          3      1.22      0.00      0.40      0.01      0.01      0.00      0.00      0.00      0.00     98.36
06:00:01        all      1.46      0.00      0.44      0.01      0.01      0.00      0.02      0.00      0.00     98.07
06:00:01          0      1.09      0.00      0.41      0.01      0.01      0.00      0.04      0.00      0.00     98.44
06:00:01          1      2.32      0.00      0.58      0.01      0.01      0.00      0.02      0.00      0.00     97.06
06:00:01          2      1.59      0.00      0.46      0.02      0.01      0.00      0.01      0.00      0.00     97.91
06:00:01          3      0.82      0.00      0.30      0.01      0.01      0.00      0.00      0.00      0.00     98.85
06:10:01        all      1.83      0.00      0.45      0.01      0.01      0.00      0.02      0.00      0.00     97.68
06:10:01          0      2.71      0.00      0.57      0.01      0.01      0.00      0.04      0.00      0.00     96.66
06:10:01          1      1.51      0.00      0.40      0.02      0.01      0.00      0.02      0.00      0.00     98.05
06:10:01          2      1.74      0.00      0.42      0.01      0.01      0.00      0.01      0.00      0.00     97.81
06:10:01          3      1.36      0.00      0.41      0.02      0.01      0.00      0.00      0.00      0.00     98.21
06:20:01        all      1.48      0.00      0.41      0.01      0.01      0.00      0.02      0.00      0.00     98.07
06:20:01          0      1.32      0.00      0.40      0.01      0.01      0.00      0.04      0.00      0.00     98.21
06:20:01          1      1.82      0.00      0.45      0.01      0.01      0.00      0.02      0.00      0.00     97.70
06:20:01          2      1.79      0.00      0.45      0.01      0.01      0.00      0.01      0.00      0.00     97.73
06:20:01          3      1.01      0.00      0.34      0.02      0.01      0.00      0.00      0.00      0.00     98.62
06:30:02        all     11.43      0.00      1.60      0.19      0.01      0.00      0.03      0.00      0.00     86.75
06:30:02          0      7.64      0.00      1.44      0.27      0.01      0.00      0.05      0.00      0.00     90.59
06:30:02          1     18.20      0.00      1.90      0.13      0.01      0.00      0.02      0.00      0.00     79.75
06:30:02          2     15.19      0.00      1.70      0.25      0.01      0.00      0.03      0.00      0.00     82.83
06:30:02          3      4.69      0.00      1.36      0.11      0.01      0.00      0.01      0.00      0.00     93.83
06:40:01        all      1.57      0.00      0.46      0.02      0.01      0.00      0.02      0.00      0.00     97.92
06:40:01          0      1.35      0.00      0.44      0.03      0.01      0.00      0.06      0.00      0.00     98.12
06:40:01          1      1.91      0.00      0.54      0.02      0.01      0.00      0.02      0.00      0.00     97.50
06:40:01          2      1.37      0.00      0.40      0.01      0.01      0.00      0.01      0.00      0.00     98.20
